,location,district,rooms,size,level,max_levels,price
117,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,50.0,7,9,37000.0
118,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,2,51.0,2,4,49000.0
119,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,1,22.0,1,2,18000.0
120,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,2,54.0,1,4,42500.0
121,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,30.0,3,5,34500.0
122,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,42.0,5,9,37000.0
123,"город Ташкент, Яккасарайский район, Тафаккур",Яккасарайский,3,70.0,2,4,70000.0
124,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,3,68.0,2,4,45800.0
125,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30.0,4,4,24000.0
126,"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,1,52.0,1,4,58000.0
127,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,72.0,4,4,55500.0
128,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,76.0,2,4,68000.0
129,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,48.0,4,4,31000.0
130,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,66.0,3,9,47000.0
131,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,3,60.0,3,5,47000.0
132,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,37.0,1,4,41000.0
133,"город Ташкент, Мирзо-Улугбекский район, Муминова",Мирзо-Улугбекский,1,40.0,3,4,24000.0
134,"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,61.0,1,4,55000.0
135,"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Чиланзарский,1,32.0,2,4,28500.0
136,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,65.0,4,4,42000.0
137,"город Ташкент, Учтепинский район, Чупон-Ота",Учтепинский,3,66.0,2,5,67000.0
138,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,70.0,4,4,46500.0
139,"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,3,66.0,4,4,50500.0
140,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65.0,1,4,40000.0
141,"город Ташкент, Яшнободский район, 1-й проезд Иззат",Яшнободский,1,37.0,5,8,13071.0
142,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,69.65,4,9,45188.0
143,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,88.0,4,5,53000.0
144,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38.0,2,5,25600.0
145,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,61.0,6,9,52000.0
146,"город Ташкент, Мирзо-Улугбекский район, Навнихол",Мирзо-Улугбекский,2,45.0,3,7,44000.0
147,"город Ташкент, Сергелийский район, Сергели-VII",Сергелийский,3,69.0,2,9,40000.0
148,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,55.13,5,9,35226.0
149,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,67.0,4,4,54000.0
150,"город Ташкент, Шайхантахурский район, 1-й проезд Генерала Узакова",Шайхантахурский,1,38.0,5,5,22500.0
151,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,67.0,2,4,36500.0
152,"город Ташкент, Яккасарайский район, пр-т Бабура",Яккасарайский,2,54.0,4,9,40000.0
153,"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,2,58.0,1,9,35000.0
154,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,4,100.0,5,8,142000.0
155,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,4,90.0,4,5,52000.0
156,"город Ташкент, Олмазорский район, ул  ХУРРИЯТ 75",Олмазорский,3,91.0,3,3,85000.0
157,"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,4,111.0,7,8,110000.0
158,"город Ташкент, Сергелийский район, Сергели 6 А дом 9 кв 53",Сергелийский,2,54.0,6,7,36000.0
159,"город Ташкент, Яшнободский район, жилой комплекс У.М. Шахидов 58-й городок",Яшнободский,3,69.0,5,5,52000.0
160,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,5,107.0,5,5,50000.0
161,"город Ташкент, Мирзо-Улугбекский район, Массив А. Югнакий",Мирзо-Улугбекский,3,80.0,2,5,55000.0
162,"город Ташкент, Юнусабадский район, Юнусабад 4 квартал",Юнусабадский,2,63.0,5,9,42000.0
163,"город Ташкент, Мирабадский район, Жемчуг",Мирабадский,3,74.0,5,16,69000.0
164,"город Ташкент, Яшнободский район, 40 лет тузел-3 Франция",Яшнободский,2,58.0,5,5,28900.0
165,"город Ташкент, Мирзо-Улугбекский район, Паркентский",Мирзо-Улугбекский,2,62.0,9,9,34000.0
166,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,3,107.0,2,8,85000.0
167,"город Ташкент, Олмазорский район, ТашПИ",Олмазорский,1,40.41,2,4,25000.0
168,"город Ташкент, Чиланзарский район, Мирзо Улуғбек метро",Чиланзарский,2,54.0,2,4,39000.0
169,"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Мирзо-Улугбекский,1,40.0,1,4,60000.0
170,"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Мирзо-Улугбекский,2,50.0,1,5,36500.0
171,"город Ташкент, Яшнободский район, Мавлоно Риёзи",Яшнободский,3,75.0,5,9,42000.0
172,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,84.0,7,8,85000.0
173,"город Ташкент, Мирзо-Улугбекский район, Ирригатор",Мирзо-Улугбекский,3,117.0,2,5,125000.0
174,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,3,70.0,5,5,37000.0
175,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,1,47.0,2,9,42000.0
176,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,56.0,2,5,36000.0
177,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,42.0,3,9,28000.0
178,"город Ташкент, Чиланзарский район",Чиланзарский,2,60.0,5,9,34000.0
179,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,32.0,2,5,28500.0
180,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,2,5,28500.0
181,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,2,9,34500.0
182,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54.0,1,4,34500.0
183,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,1,42.0,1,5,25500.0
184,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,2,9,43500.0
185,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,2,72.0,7,9,63000.0
186,"город Ташкент, Яшнободский район, Городок Авиастроителей-4",Яшнободский,3,80.0,1,4,39999.0
187,"город Ташкент, Чиланзарский район, Кошчинар",Чиланзарский,1,33.0,2,4,24500.0
188,"город Ташкент, Юнусабадский район, Улица Янги Юнусобод",Юнусабадский,2,61.0,3,5,41000.0
189,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,187.0,2,5,210000.0
190,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63.0,5,5,36000.0
191,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,60.0,5,5,34000.0
192,"город Ташкент, Чиланзарский район, Торговый центр",Чиланзарский,1,29.0,2,4,23000.0
193,"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,63.0,5,5,36000.0
194,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,48.0,4,5,28500.0
196,"город Ташкент, Чиланзарский район, Корзинка",Чиланзарский,2,45.0,4,4,47000.0
197,"город Ташкент, Олмазорский район, обводная  Нурафшон",Олмазорский,4,122.0,5,5,95000.0
198,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42.0,2,4,44000.0
199,"город Ташкент, Мирзо-Улугбекский район, Шастри",Мирзо-Улугбекский,2,50.0,1,4,45000.0
200,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,5,100.0,4,4,48000.0
201,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,60.0,4,4,32000.0
202,"город Ташкент, Яккасарайский район, Баходыра",Яккасарайский,3,119.0,3,9,120000.0
203,"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,50.0,2,4,47000.0
204,"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,78.0,5,9,70500.0
205,"город Ташкент, Яккасарайский район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Яккасарайский,4,164.0,5,6,170000.0
206,"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60.0,3,5,30500.0
207,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,2,4,26000.0
208,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,3,70.0,4,4,37500.0
209,"город Ташкент, Чиланзарский район, Метро Мирзо Улугбек",Чиланзарский,1,35.0,1,5,26500.0
210,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,47.0,2,4,32000.0
211,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36.0,2,5,26500.0
212,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,2,50.0,2,5,34500.0
213,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,52.0,2,4,36500.0
214,"город Ташкент, Яшнободский район, Оханграбо",Яшнободский,2,46.0,2,4,24500.0
215,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,3,92.0,3,9,42500.0
216,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,70.0,1,4,46000.0
217,"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,3,70.0,2,4,38500.0
218,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,60.0,7,8,36000.0
219,"город Ташкент, Мирзо-Улугбекский район, Буз 2",Мирзо-Улугбекский,2,55.0,3,5,35000.0
220,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,63.0,4,9,55500.0
221,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,89.0,4,12,81772.0
222,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,55.0,1,12,50533.0
223,"город Ташкент, Мирзо-Улугбекский район, Ул.Кора Ниязова",Мирзо-Улугбекский,3,100.0,2,6,119000.0
224,"город Ташкент, Мирзо-Улугбекский район, Ахмад Югнаки",Мирзо-Улугбекский,4,208.0,2,3,93000.0
225,"город Ташкент, Чиланзарский район, Учтепинский район массив Чиланзар 11-й квартал",Чиланзарский,1,35.0,1,4,23800.0
226,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,44.0,3,4,32900.0
227,"город Ташкент, Янгихаётский район, Сергели 9а",Янгихаётский,2,61.0,3,7,36000.0
228,"город Ташкент, Яшнободский район, Массив Риёзи",Яшнободский,4,100.0,2,9,65000.0
229,"город Ташкент, Чиланзарский район, Чиланзар 8 квартал",Чиланзарский,1,35.0,1,4,29800.0
230,"город Ташкент, Мирзо-Улугбекский район, Газалкент",Мирзо-Улугбекский,4,86.0,3,5,63000.0
231,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,3,100.0,1,5,80000.0
232,"город Ташкент, Олмазорский район, 1-й проезд Чилтугон",Олмазорский,5,110.0,5,5,63500.0
233,"город Ташкент, Мирабадский район, ЦУМ (Ц-7) ",Мирабадский,3,75.0,6,9,110000.0
234,"город Ташкент, Олмазорский район, ц-17, ц-18 Себзар (ц-17, ц-18) ",Олмазорский,3,70.0,1,5,62000.0
235,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,3,70.0,4,5,36999.0
236,"город Ташкент, Яккасарайский район, 1-й проезд Абдуллы Каххара",Яккасарайский,3,150.0,3,6,170000.0
237,"город Ташкент, Сергелийский район, 6А",Сергелийский,2,56.1,7,7,37000.0
238,"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,4,83.0,3,5,54000.0
239,"город Ташкент, Учтепинский район, Зангиота",Учтепинский,2,49.0,4,4,23000.0
240,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46.0,2,4,38500.0
241,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46.0,4,4,36200.0
242,"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,3,68.0,4,4,45000.0
243,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65.0,1,5,45000.0
244,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76.0,4,4,43000.0
245,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,1,42.0,2,5,26000.0
246,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,2,55.0,1,4,67000.0
247,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76.0,5,5,45500.0
248,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,49.0,2,6,47000.0
249,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,4,80.0,2,4,70000.0
250,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,5,142.0,5,5,120000.0
251,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,3,60.0,3,4,44000.0
252,"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,72.0,4,5,47000.0
253,"город Ташкент, Мирабадский район, 7-й проезд Мироншаха",Мирабадский,4,115.0,6,9,84000.0
254,"город Ташкент, Яшнободский район, 1-й переулок Бойкургон",Яшнободский,4,100.0,2,3,77000.0
255,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63.0,5,5,35000.0
256,"город Ташкент, Мирзо-Улугбекский район, Сайрам",Мирзо-Улугбекский,3,66.0,3,5,56000.0
